Time,L4_rz,L4_surf,pred_rz,pred_surf
"Jan 1, 2016",0.195,0.15,0.206,0.16
"Jan 2, 2016",0.195,0.149,0.184,0.142
"Jan 3, 2016",0.193,0.122,0.172,0.157
"Jan 4, 2016",0.193,0.128,0.214,0.194
"Jan 5, 2016",0.203,0.24,0.217,0.192
"Jan 6, 2016",0.205,0.229,0.207,0.194
"Jan 7, 2016",0.204,0.208,0.206,0.181
"Jan 8, 2016",0.205,0.22,0.214,0.203
"Jan 9, 2016",0.206,0.217,0.194,0.178
"Jan 10, 2016",0.205,0.204,0.208,0.173
"Jan 11, 2016",0.204,0.19,0.203,0.163
"Jan 12, 2016",0.204,0.178,0.2,0.157
"Jan 13, 2016",0.203,0.167,0.201,0.155
"Jan 14, 2016",0.202,0.161,0.184,0.156
"Jan 15, 2016",0.201,0.153,0.196,0.159
"Jan 16, 2016",0.201,0.148,0.188,0.153
"Jan 17, 2016",0.2,0.145,0.188,0.158
"Jan 18, 2016",0.2,0.143,0.208,0.163
"Jan 19, 2016",0.2,0.156,0.206,0.176
"Jan 20, 2016",0.2,0.148,0.193,0.157
"Jan 21, 2016",0.199,0.143,0.194,0.166
"Jan 22, 2016",0.199,0.145,0.179,0.138
"Jan 23, 2016",0.198,0.139,0.181,0.145
"Jan 24, 2016",0.198,0.138,0.181,0.164
"Jan 25, 2016",0.197,0.137,0.175,0.151
"Jan 26, 2016",0.197,0.137,0.203,0.166
"Jan 27, 2016",0.196,0.124,0.204,0.186
"Jan 28, 2016",0.196,0.128,0.174,0.154
"Jan 29, 2016",0.195,0.118,0.18,0.136
"Jan 30, 2016",0.194,0.118,0.214,0.181
"Jan 31, 2016",0.193,0.111,0.189,0.154
"Feb 1, 2016",0.196,0.155,0.191,0.129
"Feb 2, 2016",0.198,0.179,0.199,0.152
"Feb 3, 2016",0.197,0.16,0.172,0.139
"Feb 4, 2016",0.196,0.15,0.182,0.143
"Feb 5, 2016",0.195,0.144,0.172,0.14
"Feb 6, 2016",0.195,0.139,0.209,0.155
"Feb 7, 2016",0.194,0.135,0.175,0.137
"Feb 8, 2016",0.194,0.133,0.167,0.122
"Feb 9, 2016",0.195,0.162,0.19,0.137
"Feb 10, 2016",0.195,0.156,0.189,0.12
"Feb 11, 2016",0.192,0.127,0.169,0.122
"Feb 12, 2016",0.192,0.121,0.19,0.147
"Feb 13, 2016",0.191,0.111,0.183,0.162
"Feb 14, 2016",0.19,0.106,0.196,0.164
"Feb 15, 2016",0.189,0.104,0.212,0.175
"Feb 16, 2016",0.189,0.106,0.195,0.134
"Feb 17, 2016",0.188,0.104,0.211,0.164
"Feb 18, 2016",0.188,0.104,0.196,0.153
"Feb 19, 2016",0.187,0.102,0.191,0.169
"Feb 20, 2016",0.187,0.103,0.197,0.157
"Feb 21, 2016",0.187,0.103,0.194,0.141
"Feb 22, 2016",0.186,0.098,0.178,0.115
"Feb 23, 2016",0.185,0.097,0.219,0.167
"Feb 24, 2016",0.184,0.092,0.185,0.14
"Feb 25, 2016",0.183,0.088,0.217,0.161
"Feb 26, 2016",0.183,0.091,0.184,0.153
"Feb 27, 2016",0.183,0.09,0.213,0.167
"Feb 28, 2016",0.183,0.096,0.176,0.152
"Feb 29, 2016",0.182,0.097,0.185,0.139
"Mar 1, 2016",0.182,0.096,0.165,0.117
"Mar 2, 2016",0.182,0.101,0.164,0.107
"Mar 3, 2016",0.181,0.1,0.157,0.107
"Mar 4, 2016",0.181,0.096,0.169,0.11
"Mar 5, 2016",0.18,0.096,0.164,0.134
"Mar 6, 2016",0.18,0.094,0.155,0.114
"Mar 7, 2016",0.179,0.093,0.193,0.161
"Mar 8, 2016",0.18,0.114,0.192,0.143
"Mar 9, 2016",0.18,0.122,0.196,0.139
"Mar 10, 2016",0.179,0.104,0.166,0.108
"Mar 11, 2016",0.178,0.096,0.166,0.106
"Mar 12, 2016",0.177,0.088,0.186,0.142
"Mar 13, 2016",0.176,0.085,0.192,0.137
"Mar 14, 2016",0.175,0.082,0.172,0.131
"Mar 15, 2016",0.175,0.087,0.172,0.102
"Mar 16, 2016",0.175,0.089,0.163,0.092
"Mar 17, 2016",0.174,0.089,0.166,0.097
"Mar 18, 2016",0.174,0.091,0.166,0.103
"Mar 19, 2016",0.174,0.088,0.162,0.103
"Mar 20, 2016",0.173,0.088,0.169,0.103
"Mar 21, 2016",0.173,0.089,0.159,0.102
"Mar 22, 2016",0.172,0.089,0.173,0.099
"Mar 23, 2016",0.172,0.087,0.182,0.126
"Mar 24, 2016",0.171,0.082,0.161,0.106
"Mar 25, 2016",0.171,0.083,0.162,0.123
"Mar 26, 2016",0.17,0.083,0.172,0.102
"Mar 27, 2016",0.17,0.083,0.166,0.103
"Mar 28, 2016",0.17,0.086,0.178,0.128
"Mar 29, 2016",0.169,0.088,0.177,0.159
"Mar 30, 2016",0.169,0.091,0.202,0.171
"Mar 31, 2016",0.169,0.091,0.203,0.159
"Apr 1, 2016",0.168,0.091,0.19,0.124
"Apr 2, 2016",0.168,0.086,0.199,0.127
"Apr 3, 2016",0.167,0.086,0.163,0.107
"Apr 4, 2016",0.167,0.084,0.163,0.1
"Apr 5, 2016",0.166,0.082,0.16,0.101
"Apr 6, 2016",0.166,0.083,0.16,0.101
"Apr 7, 2016",0.165,0.082,0.151,0.094
"Apr 8, 2016",0.166,0.103,0.18,0.154
"Apr 9, 2016",0.17,0.164,0.185,0.132
"Apr 10, 2016",0.171,0.149,0.192,0.156
"Apr 11, 2016",0.175,0.188,0.186,0.154
"Apr 12, 2016",0.175,0.173,0.175,0.175
"Apr 13, 2016",0.177,0.171,0.177,0.154
"Apr 14, 2016",0.175,0.135,0.155,0.097
"Apr 15, 2016",0.173,0.111,0.182,0.127
"Apr 16, 2016",0.17,0.09,0.191,0.133
"Apr 17, 2016",0.17,0.089,0.195,0.118
"Apr 18, 2016",0.169,0.086,0.178,0.116
"Apr 19, 2016",0.168,0.085,0.167,0.094
"Apr 20, 2016",0.168,0.084,0.155,0.097
"Apr 21, 2016",0.167,0.084,0.177,0.091
"Apr 22, 2016",0.167,0.084,0.177,0.096
"Apr 23, 2016",0.166,0.083,0.14,0.087
"Apr 24, 2016",0.166,0.084,0.154,0.095
"Apr 25, 2016",0.165,0.083,0.159,0.123
"Apr 26, 2016",0.164,0.08,0.203,0.128
"Apr 27, 2016",0.164,0.08,0.179,0.113
"Apr 28, 2016",0.164,0.082,0.17,0.114
"Apr 29, 2016",0.163,0.079,0.182,0.151
"Apr 30, 2016",0.163,0.081,0.182,0.144
"May 1, 2016",0.162,0.083,0.183,0.175
"May 2, 2016",0.162,0.089,0.166,0.135
"May 3, 2016",0.162,0.088,0.156,0.093
"May 4, 2016",0.161,0.081,0.15,0.093
"May 5, 2016",0.161,0.08,0.162,0.093
"May 6, 2016",0.16,0.077,0.171,0.113
"May 7, 2016",0.159,0.077,0.188,0.125
"May 8, 2016",0.159,0.077,0.191,0.18
"May 9, 2016",0.159,0.079,0.174,0.139
"May 10, 2016",0.158,0.08,0.179,0.114
"May 11, 2016",0.158,0.077,0.164,0.098
"May 12, 2016",0.158,0.077,0.157,0.088
"May 13, 2016",0.157,0.081,0.17,0.092
"May 14, 2016",0.157,0.081,0.147,0.091
"May 15, 2016",0.157,0.079,0.154,0.095
"May 16, 2016",0.156,0.074,0.147,0.09
"May 17, 2016",0.155,0.078,0.168,0.107
"May 18, 2016",0.159,0.127,0.195,0.154
"May 19, 2016",0.159,0.135,0.167,0.109
"May 20, 2016",0.158,0.114,0.139,0.098
"May 21, 2016",0.156,0.084,0.138,0.091
"May 22, 2016",0.155,0.078,0.134,0.091
"May 23, 2016",0.154,0.072,0.139,0.092
"May 24, 2016",0.154,0.071,0.146,0.09
"May 25, 2016",0.153,0.069,0.166,0.115
"May 26, 2016",0.153,0.068,0.169,0.115
"May 27, 2016",0.152,0.07,0.162,0.097
"May 28, 2016",0.152,0.072,0.184,0.098
"May 29, 2016",0.152,0.071,0.171,0.089
"May 30, 2016",0.151,0.069,0.14,0.1
"May 31, 2016",0.151,0.071,0.164,0.089
"Jun 1, 2016",0.151,0.075,0.164,0.092
"Jun 2, 2016",0.151,0.076,0.159,0.076
"Jun 3, 2016",0.15,0.071,0.148,0.076
"Jun 4, 2016",0.149,0.068,0.147,0.076
"Jun 5, 2016",0.149,0.067,0.149,0.077
"Jun 6, 2016",0.149,0.066,0.146,0.075
"Jun 7, 2016",0.148,0.067,0.152,0.078
"Jun 8, 2016",0.148,0.068,0.151,0.08
"Jun 9, 2016",0.147,0.067,0.154,0.098
"Jun 10, 2016",0.147,0.066,0.194,0.121
"Jun 11, 2016",0.15,0.127,0.176,0.121
"Jun 12, 2016",0.15,0.112,0.158,0.097
"Jun 13, 2016",0.149,0.084,0.158,0.094
"Jun 14, 2016",0.147,0.073,0.132,0.081
"Jun 15, 2016",0.146,0.064,0.167,0.075
"Jun 16, 2016",0.146,0.061,0.182,0.084
"Jun 17, 2016",0.145,0.061,0.152,0.082
"Jun 18, 2016",0.145,0.062,0.149,0.086
"Jun 19, 2016",0.144,0.063,0.149,0.074
"Jun 20, 2016",0.144,0.061,0.145,0.082
"Jun 21, 2016",0.143,0.058,0.151,0.081
"Jun 22, 2016",0.143,0.061,0.132,0.07
"Jun 23, 2016",0.142,0.06,0.165,0.103
"Jun 24, 2016",0.142,0.063,0.152,0.099
"Jun 25, 2016",0.142,0.067,0.147,0.101
"Jun 26, 2016",0.142,0.069,0.155,0.095
"Jun 27, 2016",0.144,0.095,0.148,0.099
"Jun 28, 2016",0.143,0.092,0.164,0.095
"Jun 29, 2016",0.144,0.108,0.177,0.121
"Jun 30, 2016",0.145,0.121,0.188,0.14
"Jul 1, 2016",0.151,0.183,0.189,0.192
"Jul 2, 2016",0.171,0.201,0.196,0.16
"Jul 3, 2016",0.165,0.133,0.175,0.132
"Jul 4, 2016",0.161,0.108,0.158,0.102
"Jul 5, 2016",0.158,0.079,0.154,0.1
"Jul 6, 2016",0.156,0.072,0.168,0.109
"Jul 7, 2016",0.155,0.071,0.171,0.142
"Jul 8, 2016",0.155,0.091,0.151,0.097
"Jul 9, 2016",0.154,0.075,0.157,0.094
"Jul 10, 2016",0.152,0.067,0.16,0.093
"Jul 11, 2016",0.152,0.067,0.159,0.081
"Jul 12, 2016",0.151,0.066,0.159,0.07
"Jul 13, 2016",0.15,0.067,0.16,0.076
"Jul 14, 2016",0.15,0.065,0.17,0.097
"Jul 15, 2016",0.149,0.062,0.16,0.069
"Jul 16, 2016",0.148,0.064,0.177,0.101
"Jul 17, 2016",0.148,0.073,0.15,0.09
"Jul 18, 2016",0.149,0.09,0.178,0.12
"Jul 19, 2016",0.149,0.086,0.167,0.135
"Jul 20, 2016",0.151,0.117,0.169,0.13
"Jul 21, 2016",0.155,0.147,0.159,0.098
"Jul 22, 2016",0.156,0.141,0.157,0.102
"Jul 23, 2016",0.155,0.107,0.169,0.11
"Jul 24, 2016",0.153,0.081,0.152,0.109
"Jul 25, 2016",0.151,0.072,0.17,0.129
"Jul 26, 2016",0.15,0.071,0.155,0.111
"Jul 27, 2016",0.15,0.08,0.156,0.112
"Jul 28, 2016",0.152,0.114,0.175,0.118
"Jul 29, 2016",0.15,0.086,0.178,0.124
"Jul 30, 2016",0.149,0.083,0.176,0.12
"Jul 31, 2016",0.151,0.113,0.185,0.164
"Aug 1, 2016",0.153,0.137,0.18,0.166
"Aug 2, 2016",0.155,0.161,0.179,0.177
"Aug 3, 2016",0.16,0.169,0.171,0.152
"Aug 4, 2016",0.162,0.169,0.172,0.148
"Aug 5, 2016",0.162,0.152,0.178,0.158
"Aug 6, 2016",0.16,0.137,0.203,0.148
"Aug 7, 2016",0.16,0.139,0.178,0.122
"Aug 8, 2016",0.158,0.118,0.179,0.129
"Aug 9, 2016",0.159,0.132,0.179,0.164
"Aug 10, 2016",0.158,0.117,0.176,0.152
"Aug 11, 2016",0.159,0.143,0.179,0.157
"Aug 12, 2016",0.157,0.112,0.171,0.151
"Aug 13, 2016",0.155,0.086,0.211,0.15
"Aug 14, 2016",0.158,0.131,0.214,0.148
"Aug 15, 2016",0.156,0.092,0.193,0.138
"Aug 16, 2016",0.154,0.071,0.148,0.09
"Aug 17, 2016",0.153,0.071,0.146,0.095
"Aug 18, 2016",0.152,0.067,0.168,0.097
"Aug 19, 2016",0.152,0.066,0.167,0.119
"Aug 20, 2016",0.152,0.084,0.197,0.146
"Aug 21, 2016",0.155,0.13,0.195,0.153
"Aug 22, 2016",0.157,0.136,0.196,0.142
"Aug 23, 2016",0.155,0.096,0.175,0.15
"Aug 24, 2016",0.152,0.074,0.172,0.127
"Aug 25, 2016",0.154,0.098,0.179,0.126
"Aug 26, 2016",0.153,0.101,0.189,0.163
"Aug 27, 2016",0.156,0.139,0.185,0.166
"Aug 28, 2016",0.154,0.102,0.183,0.122
"Aug 29, 2016",0.152,0.084,0.171,0.12
"Aug 30, 2016",0.151,0.077,0.173,0.13
"Aug 31, 2016",0.15,0.072,0.182,0.163
"Sep 1, 2016",0.152,0.107,0.181,0.158
"Sep 2, 2016",0.156,0.162,0.18,0.157
"Sep 3, 2016",0.156,0.129,0.182,0.117
"Sep 4, 2016",0.152,0.088,0.157,0.108
"Sep 5, 2016",0.151,0.074,0.151,0.073
"Sep 6, 2016",0.15,0.068,0.164,0.131
"Sep 7, 2016",0.157,0.159,0.205,0.179
"Sep 8, 2016",0.213,0.278,0.167,0.15
"Sep 9, 2016",0.224,0.202,0.19,0.139
"Sep 10, 2016",0.211,0.168,0.178,0.121
"Sep 11, 2016",0.204,0.145,0.168,0.116
"Sep 12, 2016",0.201,0.161,0.159,0.147
"Sep 13, 2016",0.203,0.211,0.156,0.149
"Sep 14, 2016",0.205,0.216,0.187,0.146
"Sep 15, 2016",0.203,0.184,0.162,0.132
"Sep 16, 2016",0.2,0.139,0.168,0.113
"Sep 17, 2016",0.197,0.113,0.172,0.111
"Sep 18, 2016",0.196,0.104,0.152,0.09
"Sep 19, 2016",0.195,0.099,0.149,0.084
"Sep 20, 2016",0.193,0.094,0.163,0.116
"Sep 21, 2016",0.193,0.099,0.17,0.127
"Sep 22, 2016",0.192,0.101,0.166,0.132
"Sep 23, 2016",0.191,0.101,0.202,0.177
"Sep 24, 2016",0.19,0.103,0.161,0.129
"Sep 25, 2016",0.189,0.092,0.153,0.091
"Sep 26, 2016",0.188,0.092,0.198,0.166
"Sep 27, 2016",0.189,0.124,0.189,0.154
"Sep 28, 2016",0.19,0.141,0.197,0.149
"Sep 29, 2016",0.191,0.158,0.181,0.172
"Sep 30, 2016",0.194,0.202,0.189,0.159
"Oct 1, 2016",0.196,0.196,0.146,0.107
"Oct 2, 2016",0.193,0.147,0.153,0.129
"Oct 3, 2016",0.191,0.131,0.192,0.153
"Oct 4, 2016",0.189,0.113,0.173,0.117
"Oct 5, 2016",0.188,0.099,0.175,0.105
"Oct 6, 2016",0.186,0.091,0.155,0.127
"Oct 7, 2016",0.185,0.091,0.176,0.117
"Oct 8, 2016",0.185,0.105,0.154,0.133
"Oct 9, 2016",0.184,0.155,0.185,0.152
"Oct 10, 2016",0.185,0.155,0.153,0.112
"Oct 11, 2016",0.185,0.146,0.185,0.122
"Oct 12, 2016",0.183,0.118,0.167,0.1
"Oct 13, 2016",0.182,0.105,0.163,0.116
"Oct 14, 2016",0.181,0.099,0.155,0.086
"Oct 15, 2016",0.181,0.095,0.167,0.091
"Oct 16, 2016",0.18,0.09,0.178,0.105
"Oct 17, 2016",0.18,0.097,0.178,0.103
"Oct 18, 2016",0.179,0.095,0.17,0.104
"Oct 19, 2016",0.179,0.095,0.172,0.122
"Oct 20, 2016",0.178,0.097,0.158,0.095
"Oct 21, 2016",0.177,0.093,0.179,0.118
"Oct 22, 2016",0.177,0.094,0.178,0.114
"Oct 23, 2016",0.177,0.095,0.183,0.107
"Oct 24, 2016",0.176,0.094,0.19,0.101
"Oct 25, 2016",0.177,0.106,0.15,0.145
"Oct 26, 2016",0.176,0.102,0.164,0.111
"Oct 27, 2016",0.175,0.094,0.181,0.117
"Oct 28, 2016",0.175,0.095,0.186,0.1
"Oct 29, 2016",0.174,0.097,0.187,0.103
"Oct 30, 2016",0.174,0.099,0.184,0.105
"Oct 31, 2016",0.174,0.097,0.149,0.104
"Nov 1, 2016",0.173,0.096,0.195,0.152
"Nov 2, 2016",0.173,0.096,0.19,0.128
"Nov 3, 2016",0.175,0.139,0.162,0.129
"Nov 4, 2016",0.186,0.228,0.196,0.192
"Nov 5, 2016",0.197,0.212,0.178,0.127
"Nov 6, 2016",0.193,0.184,0.175,0.12
"Nov 7, 2016",0.191,0.177,0.153,0.124
"Nov 8, 2016",0.189,0.149,0.161,0.107
"Nov 9, 2016",0.187,0.129,0.172,0.114
"Nov 10, 2016",0.185,0.107,0.169,0.134
"Nov 11, 2016",0.184,0.108,0.17,0.13
"Nov 12, 2016",0.183,0.103,0.169,0.111
"Nov 13, 2016",0.183,0.104,0.162,0.127
"Nov 14, 2016",0.182,0.102,0.171,0.106
"Nov 15, 2016",0.181,0.095,0.168,0.106
"Nov 16, 2016",0.181,0.097,0.16,0.103
"Nov 17, 2016",0.18,0.097,0.172,0.138
"Nov 18, 2016",0.18,0.094,0.177,0.112
"Nov 19, 2016",0.179,0.095,0.156,0.104
"Nov 20, 2016",0.179,0.092,0.159,0.109
"Nov 21, 2016",0.179,0.109,0.187,0.179
"Nov 22, 2016",0.18,0.131,0.192,0.165
"Nov 23, 2016",0.18,0.129,0.175,0.12
"Nov 24, 2016",0.179,0.115,0.175,0.116
"Nov 25, 2016",0.178,0.103,0.171,0.114
"Nov 26, 2016",0.177,0.097,0.166,0.146
"Nov 27, 2016",0.177,0.098,0.195,0.164
"Nov 28, 2016",0.177,0.107,0.196,0.176
"Nov 29, 2016",0.177,0.116,0.174,0.143
"Nov 30, 2016",0.177,0.116,0.158,0.108
"Dec 1, 2016",0.177,0.118,0.166,0.108
"Dec 2, 2016",0.177,0.117,0.159,0.123
"Dec 3, 2016",0.177,0.121,0.19,0.143
"Dec 4, 2016",0.177,0.126,0.185,0.113
"Dec 5, 2016",0.177,0.123,0.161,0.109
"Dec 6, 2016",0.176,0.107,0.157,0.119
"Dec 7, 2016",0.175,0.098,0.168,0.131
"Dec 8, 2016",0.175,0.103,0.178,0.149
"Dec 9, 2016",0.174,0.093,0.157,0.134
"Dec 10, 2016",0.174,0.096,0.165,0.12
"Dec 11, 2016",0.174,0.095,0.158,0.114
"Dec 12, 2016",0.174,0.101,0.159,0.137
"Dec 13, 2016",0.173,0.102,0.155,0.128
"Dec 14, 2016",0.173,0.099,0.159,0.121
"Dec 15, 2016",0.173,0.104,0.167,0.105
"Dec 16, 2016",0.173,0.111,0.16,0.128
"Dec 17, 2016",0.175,0.142,0.201,0.171
"Dec 18, 2016",0.177,0.161,0.152,0.143
"Dec 19, 2016",0.176,0.146,0.154,0.117
"Dec 20, 2016",0.175,0.135,0.159,0.11
"Dec 21, 2016",0.175,0.142,0.155,0.142
"Dec 22, 2016",0.186,0.239,0.202,0.226
"Dec 23, 2016",0.222,0.249,0.188,0.173
"Dec 24, 2016",0.213,0.215,0.192,0.156
"Dec 25, 2016",0.211,0.229,0.185,0.161
"Dec 26, 2016",0.208,0.207,0.176,0.131
"Dec 27, 2016",0.206,0.187,0.173,0.118
"Dec 28, 2016",0.204,0.176,0.176,0.126
"Dec 29, 2016",0.204,0.173,0.175,0.155
"Dec 30, 2016",0.204,0.184,0.198,0.179
"Dec 31, 2016",0.206,0.217,0.226,0.214
